"Sleep HRV — 2026-09-10 to 2026-09-16
========================
Note: dates are wake-up days (each value comes from the night that ended that morning).

HRV Assessment — Last 7 days
========================

2026-09-16:
  HRV Avg: 41 ms — Above normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-15:
  HRV Avg: 37 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-14:
  HRV Avg: 34 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-13:
  HRV Avg: 29 ms — Below normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-12:
  HRV Avg: 36 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-11:
  HRV Avg: 35 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-10:
  HRV Avg: 39 ms — Normal
  Normal Range: 29 - 39 ms
  Baseline: 34 ms

Sleep HRV Time Series — Last 7 days
========================

  timestamp=1789172990, timezone=12, hrv=30 ms, status=0, confidence=100
  timestamp=1789173590, timezone=12, hrv=26 ms, status=0, confidence=100
  timestamp=1789174190, timezone=12, hrv=26 ms, status=0, confidence=100
  timestamp=1789174790, timezone=12, hrv=27 ms, status=0, confidence=100
  timestamp=1789175390, timezone=12, hrv=19 ms, status=0, confidence=100
  timestamp=1789176290, timezone=12, hrv=20 ms, status=0, confidence=100
  timestamp=1789176890, timezone=12, hrv=28 ms, status=0, confidence=100
  timestamp=1789177490, timezone=12, hrv=41 ms, status=0, confidence=100
  timestamp=1789178090, timezone=12, hrv=38 ms, status=0, confidence=100
  timestamp=1789178690, timezone=12, hrv=26 ms, status=0, confidence=100
  timestamp=1789179290, timezone=12, hrv=37 ms, status=0, confidence=100
  timestamp=1789180190, timezone=12, hrv=23 ms, status=0, confidence=100
  timestamp=1789180790, timezone=12, hrv=62 ms, status=0, confidence=93
  timestamp=1789181390, timezone=12, hrv=42 ms, status=0, confidence=100
  timestamp=1789181990, timezone=12, hrv=34 ms, status=0, confidence=100
  timestamp=1789182590, timezone=12, hrv=49 ms, status=0, confidence=100
  timestamp=1789183190, timezone=12, hrv=66 ms, status=0, confidence=100
  timestamp=1789184090, timezone=12, hrv=41 ms, status=0, confidence=100
  timestamp=1789186490, timezone=12, hrv=47 ms, status=0, confidence=90
  timestamp=1789212290, timezone=12, hrv=27 ms, status=0, confidence=99
  timestamp=1789212590, timezone=12, hrv=19 ms, status=0, confidence=100
